item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_SOUL,Caerleon,1,97,2024-07-30T09:15:00,130,2024-07-30T09:15:00,1,2024-07-30T09:15:00,94,2024-07-30T09:15:00
T4_SOUL,Caerleon,1,103,2024-07-30T09:35:00,103,2024-07-30T09:35:00,1,2024-07-30T09:35:00,94,2024-07-30T09:35:00
T4_SOUL,Caerleon,1,99,2024-07-30T10:50:00,124,2024-07-30T10:50:00,1,2024-07-30T10:50:00,94,2024-07-30T10:50:00
