item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_SOUL,Thetford,1,116,2024-07-30T04:40:00,169,2024-07-30T04:40:00,98,2024-07-29T21:05:00,98,2024-07-29T21:05:00
T4_SOUL,Thetford,1,117,2024-07-30T11:20:00,154,2024-07-30T11:20:00,20,2024-07-30T11:20:00,103,2024-07-30T11:20:00
